********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,23-Feb-21,Time,12:44
Core random seed,  1775512646
*******************
Selected Configuration,  1
Session Type,  6
Moyenne Des Sessions,  40


17,89 201
17,89 150
17,89 179
1001,84 68 
6693,66 74 
6693,66 65 
6693,66 3 
7096,95 66 
7105,58 69 
10708,41 68 
13667,2 74 
13667,2 65 
13667,2 3 
14107,3 66 
14110,75 69 
17680,81 68 
17690,62 74 
17690,62 65 
17690,62 3 
18575,42 66 
18580,83 69 
21716,62 68 
30233,44 74 
30233,44 4 
31224,1 66 
31240,48 69 
31299,15 75 
31550,88 66 
31557,44 69 
34242,89 68 
35994,51 74 
35994,51 65 
35994,51 3 
36731,23 66 
36744,66 69 
40014,05 68 
41522,01 74 
41522,01 65 
41522,01 3 
42591,1 66 
42599,15 69 
45534,77 68 
46906,17 74 
46906,17 65 
46906,17 3 
47507,48 66 
47519,58 69 
48255,52 75 
48511,75 66 
48520,42 69 
50922,28 68 
53011,72 74 
53011,72 65 
53011,72 3 
54079,46 66 
54091,25 69 
57027,01 68 
57230,04 74 
57230,04 65 
57230,04 3 
58239,46 66 
58244,6 69 
61247,19 68 
63418,07 74 
63418,07 65 
63418,07 3 
64534,42 66 
64549,23 69 
64622,52 75 
64843,99 66 
64849,57 69 
65087,3 75 
65343,7 66 
65350,08 69 
65418,54 75 
65543,69 66 
65550,04 69 
67435,74 68 
68249,65 74 
68249,65 65 
68249,65 3 
69427,29 66 
69436,33 69 
69530,33 75 
69719,25 66 
69736,57 69 
70137,97 75 
70199,55 66 
70220,25 69 
72255,31 68 
76425,8 74 
76425,8 65 
76425,8 3 
77333,28 66 
77342,31 69 
77467,15 75 
77691,75 66 
77709,31 69 
78207,17 75 
78599,05 66 
78610 69 
79545,72 75 
79827,24 66 
79844,27 69 
80444,75 68 
80550,51 74 
80550,51 65 
80550,51 3 
80635,91 66 
80644,81 69 
84210,07 75 
84314,36 66 
84331,27 69 
84419,89 75 
84614,34 64 
84631,54 68 
84680,87 74 
84680,87 65 
84680,87 3 
84784,97 66 
84798,38 69 
86013,33 75 
86163,34 66 
86165,9 69 
88701,05 68 
88723,16 74 
88723,16 65 
88723,16 3 
90112,2 66 
90118,8 69 
90227,2 75 
90443,34 66 
90452,37 69 
91326,17 75 
91547,73 66 
91553,39 69 
92505,67 75 
92687,23 66 
92704,05 69 
92737,62 68 
92993,85 74 
92993,85 4 
93084,39 66 
93087,9 69 
93653,85 75 
93807,19 66 
93821,58 69 
95289,86 75 
95479,67 66 
95489,55 69 
97007,63 68 
97185,75 74 
97185,75 65 
97185,75 3 
97371,23 66 
97374,3 69 
100961,79 75 
101542,29 64 
101544,15 68 
101634,68 74 
101634,68 65 
101634,68 3 
101823,37 66 
101827,87 69 
105647,53 68 
118269,21 74 
118269,21 65 
118269,21 3 
119431,19 66 
119441,08 69 
120953,93 75 
121315,2 66 
121325,95 69 
121358,34 75 
121591,3 66 
121592,71 69 
122276,9 68 
122426,18 74 
122426,18 65 
122426,18 3 
122824,04 66 
122827,12 69 
126286,1 75 
126503,3 64 
126513,29 68 
127487,31 74 
127487,31 65 
127487,31 3 
127667,29 66 
127680,87 69 
128793,93 75 
128923,11 66 
128931,9 69 
129905,98 75 
130252,97 66 
130266,05 69 
130426,3 75 
130563,97 66 
130566,71 69 
131500,43 68 
131909,83 74 
131909,83 65 
131909,83 3 
132047,85 66 
132050,8 69 
135402,85 75 
135599,36 66 
135603,48 69 
135920,59 68 
136001,89 74 
136001,89 65 
136001,89 3 
136211,05 66 
136220,55 69 
136285,26 75 
136504,03 66 
136520,85 69 
140007 68 
142005,94 74 
142005,94 65 
142005,94 3 
143283,56 66 
143292,62 69 
146011,46 68 
148797,71 74 
148797,71 65 
148797,71 3 
149319,67 66 
149330,61 69 
149603,26 75 
149863,24 66 
149881,31 69 
152816,88 68 
152823,66 74 
152823,66 65 
152823,66 3 
153967,31 66 
153984,09 69 
154067,91 75 
154162,98 66 
154167,85 69 
154439,46 75 
154687,17 66 
154701,4 69 
156853,08 68 
156874,43 74 
156874,43 65 
156874,43 3 
157995,19 66 
158003,85 69 
160889,6 68 
162461,66 74 
162461,66 65 
162461,66 3 
163091,5 66 
163107,72 69 
166477,23 68 
166899,54 74 
166899,54 65 
166899,54 3 
167000,16 66 
167010,77 69 
169206,2 75 
169285,37 66 
169295,85 69 
170913,92 68 
170962,2 74 
170962,2 65 
170962,2 3 
171314,57 66 
171330,82 69 
171638,39 75 
171922,84 66 
171931,29 69 
172102,2 75 
172228,09 66 
172231,59 69 
173353,71 75 
173395,67 66 
173399,45 69 
174983,55 68 
175815,39 74 
175815,39 65 
175815,39 3 
175947,55 66 
175950,91 69 
178270,66 75 
178385,15 66 
178402,77 69 
178929,95 75 
179003,58 66 
179019,93 69 
179383,08 75 
179567,96 66 
179570,46 69 
179820,6 68 
180557,74 74 
180557,74 65 
180557,74 3 
181826,5 66 
181838,67 69 
182930,48 75 
183055,36 66 
183073,03 69 
183314,73 75 
183403,44 66 
183406,63 69 
184370,83 75 
184551,25 66 
184557,51 69 
184591,04 68 
185079,82 74 
185079,82 65 
185079,82 3 
185268,61 66 
185274,65 69 
185485,06 75 
185600,1 66 
185608,28 69 
189094,31 68 
189521,71 74 
189521,71 65 
189521,71 3 
190538,2 66 
190545,34 69 
193531,87 68 
194637,65 74 
194637,65 65 
194637,65 3 
195550,91 66 
195565,83 69 
195678,51 75 
195847,25 66 
195849,7 69 
196368,91 75 
196451,37 66 
196466,55 69 
198651,88 68 
205223,61 74 
205223,61 65 
205223,61 3 
206051,13 66 
206057,17 69 
207002,2 75 
207151,23 66 
207158,17 69 
207675,74 75 
207994,78 66 
208008,71 69 
208422,77 75 
208611,37 66 
208625,83 69 
209243,15 68 
